"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"72","CORAL I (IND)","enero",0,5
"73","CORSARIO I (IND)","enero",80,233
"74","COSTA GRANDE 1 (IND)","enero",32,175
"75","COYI I (ART)","enero",0,1
"76","COYI II (ART)","enero",11,28
"77","CRISTIAN GUILLERMO (ART)","enero",18,33
"78","CRISTOBAL (ART)","enero",22,54
"79","DALCA (ART)","enero",99,169
"80","DANIEL (ART)","enero",7,17
"81","DANIELA S (ART)","enero",140,202
"82","DELFIN 2000 (ART)","enero",37,139
"83","DELIA ROSA (ART)","enero",27,50
"84","DEMETRIO II (L","enero",2,6
"85","DIEGO ESTEBAN (ART)","enero",26,52
"86","DIEGO RAMIREZ (FAB)","enero",13,21
"87","DOMENICA (ART)","enero",30,59
"88","DOÑA AMANDA (L","enero",86,122
"89","DOÑA BELLA (L","enero",204,241
"90","DOÑA BERNARDA (L","enero",20,74
"91","DOÑA CANDELARIA (ART)","enero",15,21
"92","DON ADRIAN II (L","enero",221,327
"93","DON ADRIAN (L","enero",212,329
"94","DOÑA JOVA 2DA (ART)","enero",22,41
"95","DON ALAMIRO","enero",0,3
"96","DOÑA LETICIA (ART)","enero",20,52
"97","DON ALFONSO (IND)","enero",60,163
"98","DON ALFONSO II (ART)","enero",38,81
"99","DON ALFREDO (L","enero",126,273
"100","DOÑA MARGARITA C (ART)","enero",14,39
"101","DON ANGEL (ART)","enero",0,8
"102","DOÑA PILAR II (ART)","enero",8,28
"103","DON ATILIO (ART)","enero",9,38
"104","DON BENITO II (ART)","enero",13,56
"105","DON BENJA (ART)","enero",35,66
"106","DON BORIS (IND)","enero",84,204
"107","DON CLAUDIO (L","enero",0,37
"108","DON DANIEL I (L","enero",30,51
"109","DON DANILO F (ART)","enero",49,64
"110","DON DAVID II (ART)","enero",9,70
"111","DON DEMETRIO III (ART)","enero",16,46
"112","DON EDMUNDO (IND)","enero",76,163
"113","DON ERNESTO AYALA MARFIL (IND)","enero",36,215
"114","DON FELIX III (L","enero",304,466
"115","DON FELIX II (L","enero",298,493
"116","DON FELIX (L","enero",331,546
"117","DON FRANCISCO I (ART)","enero",2,29
"118","DON GINO (IND)","enero",65,307
"119","DON GUILLERMO I (ART)","enero",17,42
"120","DON JEAN PIERRE (ART)","enero",62,102
"121","DON JOAQUIN II (ART)","enero",0,2
"122","DON JORGE","enero",0,17
"123","DON JORGE LUIS M (ART)","enero",20,48
"124","DON JOSE EDGARDO (ART)","enero",10,64
"125","DON JOSE I (ART)","enero",11,24
"126","DON JOSE IV (ART)_1322","enero",77,127
"127","DON JUAN C (ART)","enero",3,8
"128","DON JULIO (BZA)","enero",116,311
"129","DON KAKO (ART)","enero",33,68
"130","DON LEONEL (ART)","enero",24,62
"131","DON LINO (ART)","enero",239,331
"132","DON LUCHO (ART)","enero",0,1
"133","DON LUIS ALBERTO (ART)","enero",26,90
"134","DON LUIS ALBERTO II (ART)","enero",22,51
"135","DON LUIS D (ART)","enero",13,40
"136","DON MANUEL (IND)","enero",35,115
"137","DON MARCIAL (L","enero",32,129
"138","DON MATEO (ART)","enero",17,52
"139","DON MATEO I (ART)","enero",132,193
"140","DON MAXI (ART)","enero",138,189
"141","DON MIGUEL (ART)","enero",15,57
"142","DON NESTOR (L","enero",174,337
"143","DON OSCAR (ART)","enero",0,4
"144","DON PANCRACIO (ART)","enero",24,70
"145","DON PASCUAL (ART)","enero",7,14
"146","DON RAUL I (ART)","enero",1,99
"147","DON RAUL M (ART)","enero",0,50
"148","DON RICARDO (ART)","enero",18,59
"149","DON RICARDO II (ART)","enero",24,53
"150","DON ROBERT (ART)","enero",20,51
"151","DON RUBEN (ART)","enero",21,48
"152","DON SAMUEL II (ART)","enero",24,49
"153","DON STEFAN (IND)","enero",63,146
"154","DON TITO (IND)","enero",102,242
"155","DON TOMAS (L","enero",383,550
"156","DON VICENTE I (ART)","enero",75,106
"157","DON WILLY (ART)","enero",97,125
"158","DUQUECO (IND)","enero",0,36
"159","EDEN I (ART)","enero",0,1
"160","EL ACUARIO I (ART)","enero",31,59
"161","ELBE (IND)","enero",131,225
"162","EL CID (ART)","enero",22,96
"163","EL DANUBIO AZUL (ART)","enero",0,2
"164","ELOISA II (ART)","enero",19,41
"165","EL PACIFICO (ART)","enero",0,32
"166","EL ROBLE (L","enero",166,201
"167","EMELINDA (ART)","enero",26,55
"168","EPERVA 49 (IND)","enero",43,323
"169","EPERVA 51 (IND)","enero",21,207
"170","EPERVA 56 (IND)","enero",0,1
"171","EPERVA 61 (IND)","enero",24,160
"172","EPERVA 62 (IND)","enero",31,223
"173","EPERVA 65 (IND)","enero",16,232
"174","EPERVA 66 (IND)","enero",33,242
"175","ERICK GABRIEL (ART-TRP)","enero",0,18
"176","ESTRELLA II (ART)","enero",44,90
"177","EUGENIO (ART)","enero",3,33
"178","EVELYN (ART)","enero",117,140
"179","FELIPE EDUARDO (ART)","enero",0,16
"180","FITZ ROY (ART-TRP)","enero",12,56
"181","FLOPY I (ART)","enero",202,333
"182","FLORENCIA (ART)","enero",14,45
"183","FOCHE (IND)","enero",105,209
"184","FORTUNA IV (ART)","enero",25,135
"185","FORTUNA V (ART)","enero",41,217
"186","FRANCISCO JAVIER (ART)","enero",24,56
"187","FRAPOLI (L","enero",245,402
"188","FRIOSUR IX (IND)","enero",609,703
"189","FRIOSUR VIII (IND)","enero",0,34
"190","FRIOSUR X (IND)","enero",281,349
"191","GALEON II (ART)","enero",34,55
"192","GAROTA (ART)","enero",49,182
"193","GAROTA II (ART)","enero",32,179
"194","GAROTA III (ART)","enero",52,177
"195","GAROTA IV (ART)","enero",44,193
"196","GAROTA V (ART)","enero",35,185
"197","GIANLUCA (ART)","enero",28,52
"198","GIANPIERO I","enero",1,127
"199","GLACIAR I (ART)","enero",20,47
"200","GLOBAL PESCA II (FAB)","enero",383,726
"201","GLOBAL PESCA III (FAB)","enero",317,675
"202","GREISIS NICOL II (ART)","enero",0,5
"203","GRINGO (IND)","enero",246,429
"204","GUAJACHE II (ART)","enero",6,24
"205","GUANAYE 2 (IND)","enero",53,124
"206","GUAYACAN I (ART)","enero",0,54
"207","GUILLERMO I (ART)","enero",20,133
"208","HALCON (IND)","enero",35,306
"209","HERACLES (L","enero",129,196
"210","HERMINIA I (ART)","enero",28,55
"211","HUMBOLDT II (ART)","enero",16,178
"212","HURACAN (IND)","enero",35,248
"213","HURACAN I (ART)","enero",25,96
"214","ICALMA (IND)","enero",35,186
"215","INGRID FERNANDA (ART)","enero",111,209
"216","INTREPIDO (IND)","enero",58,311
"217","ISAAC (ART)","enero",24,50
"218","ISAURA I (ART)","enero",2,8
"219","ISIDORA I     ART","enero",1,2
"220","ISLA LLAHUEN (ART)","enero",1,91
"221","ISLA PICTON","enero",220,411
"222","ISLA TABON (L","enero",85,117
"223","JACKIE (L","enero",245,390
"224","JACOB-ISRAEL (ART)","enero",21,51
"225","JAQUELINE (ART)","enero",66,96
"226","JAVIER (IND)","enero",122,366
"227","JEPE I (ART)","enero",38,147
"228","J J (ART)","enero",11,23
"229","JOEL I (ART)","enero",21,58
"230","JORGE ANDRES (ART)","enero",29,62
"231","JORGE HERNAN M (ART)","enero",15,42
"232","JOSUE (ART)","enero",45,79
"233","JOYA I (L","enero",39,52
"234","JUAN CLAUDIO (ART)","enero",178,200
"235","JUAN MARCELO (ART)","enero",8,35
"236","KALI (ART)","enero",27,160
"237","KAREN PAMELA (ART)","enero",4,16
"238","KAWESCAR (ART)","enero",0,1
"239","KIPPERNES (ART)","enero",18,54
"240","KOKALECA III (ART)","enero",0,31
"241","KORMORAN 2DO (ART)","enero",13,37
"242","LAGO GENESARET (L","enero",54,83
"243","LAGO RANCO (ART)","enero",35,54
"244","LA VICTORIA (ART)","enero",15,57
"245","LICANTEN (IND)","enero",0,34
"246","LIDER (IND)","enero",33,90
"247","LIDIA C (ART)","enero",112,221
"248","LOA 2 (IND)","enero",35,173
"249","LOBA DE MAR (ART)","enero",110,145
"250","LOBO DE AFUERA IV (ART)","enero",11,26
"251","LOBO DE AFUERA V (ART)","enero",9,25
"252","LONCO (IND)","enero",67,181
"253","LONCONAO (ART)","enero",2,33
"254","LONQUIMAY 2 (ART)","enero",12,105
"255","LORETO V (ART)","enero",7,24
"256","LOS VILOS II (ART)","enero",26,63
"257","LUCAS I (ART)","enero",22,48
"258","LUCIA PALMIRA (L","enero",0,1
"259","LUZ ELENA (L","enero",81,122
"260","MAIMAU I  (ART)","enero",21,171
"261","MAMA EDITH (ART)","enero",13,53
"262","MARBELLA II (ART)","enero",16,36
"263","MARCELO RODOLFO (ART)","enero",8,22
"264","MARCO POLO (ART)","enero",0,1
"265","MAR DE LIGURIA (ART)","enero",25,52
"266","MARIA CRUZ II (L","enero",110,211
"267","MARIA EMPERATRIZ  III (IND)","enero",99,151
"268","MARIA INES (L","enero",365,584
"269","MARIA JOSE (IND)","enero",119,270
"270","MARIANA B (ART)","enero",0,1
"271","MARIA PABLA (ART)","enero",22,100
"272","MARIA SOLEDAD II (ART)","enero",47,142
"273","MARIA TRINIDAD (ART)","enero",25,38
"274","MARIO ALBERTO (L","enero",0,8
"275","MARLIN (IND)","enero",22,190
"276","MAR PRIMERO (ART)","enero",30,55
"277","MAR SEGUNDO (ART)","enero",0,37
"278","MARVENTO (ART)","enero",25,54
"279","MATIAS IGNACIO (L","enero",292,524
"280","MATIAS NICOLAS (ART)","enero",23,52
"281","MATIAS R (ART)","enero",19,44
"282","MAXIMO JAVIER (L","enero",169,224
"283","MERO (IND)","enero",27,249
"284","MILTON PATRICIO (L","enero",94,133
"285","MOISES II (ART)","enero",119,168
"286","NAZARETH II (ART)","enero",12,37
"287","NIEBLA","enero",22,85
"288","NISSHIN MARU N°3 (IND)","enero",115,230
"289","NOEMI SIMONEY (ART)","enero",0,20
"290","NUESTRA SRA DE LA TIRANA II (IND)","enero",3,56
"291","OCEANI III (ART)","enero",1,1
"292","ORIENTE (ART)","enero",201,255
"293","ORION IV (ART)","enero",2,20
"294","OYSTER III (ART)","enero",5,37
"295","PAOLA I (ART)","enero",29,54
"296","PAPA MARAVILLA III (ART)","enero",122,177
"297","PARINA I (IND)","enero",30,212
"298","PATRICIA VANESSA (ART)","enero",47,69
"299","PAULINA M (ART)","enero",18,42
"300","PEDRO L (L","enero",34,63
"301","PEHUENCHE (ART)","enero",4,39
"302","PEHUENCO (IND)","enero",2,6
"303","PELICANO (IND)","enero",100,197
"304","PETROHUE I (ART)","enero",8,24
"305","PETROHUE II (ART)","enero",6,26
"306","PETROHUE III (ART)","enero",7,22
"307","PIGARGO (ART)","enero",0,2
"308","PILFICAN III (ART)","enero",6,41
"309","POLACO I (ART-TRP)","enero",0,20
"310","POLARIS II (IND)","enero",175,411
"311","POSEIDON II (ART)","enero",16,48
"312","PUCARA (IND)","enero",22,216
"313","PUERTO BALLARTA (ART)","enero",17,41
"314","PUERTO BALLENA (FAB)","enero",43,138
"315","PUERTO BRAVO (ART)","enero",98,146
"316","PUERTO TORO (FAB)","enero",31,64
"317","PUERTO WILLIAMS (FAB)","enero",411,651
"318","PUMA II (ART)","enero",167,194
"319","PUNTA BRAVA (ART)","enero",3,32
"320","PUNTA DEL ESTE (L","enero",82,197
"321","PUNTA TALCA (ART)","enero",90,152
"322","PUNTA VERDE (ART)","enero",18,46
"323","QUERELEMA (IND)","enero",166,416
"324","QUIMERA (ART)","enero",27,54
"325","RAMIRO M (ART)","enero",157,229
"326","RAPANUI (IND)","enero",55,108
"327","RAQUEL I (ART)","enero",1,52
"328","RAUL CESAR (ART)","enero",18,46
"329","RAUL M (ART)","enero",23,55
"330","RELAMPAGO (IND)","enero",8,49
"331","REY DE REYES (ART)","enero",20,31
"332","RIEKA I (ART)","enero",30,64
"333","RIMALFREDAN II (ART)","enero",16,54
"334","RIO JORDAN VII (L","enero",12,64
"335","RIO JORDAN X (ART)","enero",19,48
"336","RIO MAULE I (ART)","enero",2,26
"337","RIO SIMPSON II (ART)","enero",133,170
"338","RIO SIMPSON (L","enero",44,59
"339","RODRIGO I (ART)","enero",34,52
"340","RUBY FRANCISCA (ART)","enero",24,47
"341","RUTH (IND)","enero",29,104
"342","SALMON (IND)","enero",16,241
"343","SAN CARLOS II (L","enero",47,169
"344","SANDRITA I (ART)","enero",37,52
"345","SANDY III (ART)","enero",3,40
"346","SAN JORGE I (IND)","enero",37,290
"347","SAN JOSE (IND)","enero",68,203
"348","SAN SEBASTIAN I","enero",0,23
"349","SANTA BARBARA II (L","enero",3,94
"350","SANTA ISABEL IV (L","enero",0,2
"351","SANTA MARIA II (IND)","enero",0,3
"352","SANTA MARIA II (L","enero",133,193
"353","SARITA ELVIRA (ART)","enero",0,15
"354","SARITA II (ART)","enero",32,66
"355","SHALON II (ART)","enero",7,24
"356","SHIMANE (ART)","enero",20,50
"357","SIXTO ABRAHAM (ART)","enero",22,59
"358","SIXTO ABRAHAM I (ART)","enero",20,56
"359","SKORPION (IND)","enero",121,191
"360","SOCOROMA II (ART)","enero",22,55
"361","SOFIA-A (ART)","enero",23,56
"362","SOFIA MAGDALENA (ART)","enero",9,60
"363","SOFIA M (L","enero",69,116
"364","SOL NACIENTE (L","enero",35,55
"365","SOTILEZA (ART)","enero",21,47
"366","STA. ISABEL III (L","enero",0,2
"367","SUREÑA (ART","enero",0,2
"368","SUSANA (ART)","enero",42,76
"369","TIO CHITO (ART)","enero",20,46
"370","TIO GRINGO (IND)","enero",26,49
"371","TITIN (ART)","enero",0,34
"372","TOCONAO (ART)","enero",28,66
"373","TORNADO (IND)","enero",23,247
"374","TOTO (ART)","enero",0,13
"375","TRAUWÜN I (ART)","enero",163,282
"376","TRINIDAD (ART)","enero",29,118
"377","TSUNAMI S (ART)","enero",37,62
"378","TUAREG I (ART)","enero",8,23
"379","TURIMAR III (ART)","enero",1,4
"380","UNIONSUR (FAB)","enero",1,23
"381","UNZEN (FAB)","enero",3,40
"382","VALENCIA (ART)","enero",15,66
"383","VALENTINA (L","enero",0,125
"384","VENTISQUERO (IND)","enero",110,286
"385","VESTERVEG (IND)","enero",110,262
"386","VICHUQUEN II (IND)","enero",100,302
"387","VIRGO (ART)","enero",6,39
"388","XIMENA I (ART)","enero",22,61
"389","XOLOT (ART)","enero",21,78
"390","YELCHO I (IND)","enero",98,205
"391","YENNY (ART)","enero",25,53
"392","YOLANDA FILOMENA (L","enero",85,120
"393","YOLANDA S (ART)","enero",33,60
"394","ABATE MOLINA","febrero",98,450
"395","ABRAHAM (ART)","febrero",2,3
"396","ABUELITA FLOR  (ART)","febrero",0,43
"397","ABUELITA FRESIA (L","febrero",263,328
"398","ACUARIO I (ART)","febrero",157,330
"399","ACUARIO III (ART)","febrero",0,3
"400","ACUARIO IV (ART)","febrero",155,231
"401","ADRIANA V (ART)","febrero",0,10
"402","AGUILA REAL (ART)","febrero",17,47
"403","ALBERTO M (ART)","febrero",15,32
"404","ALBIMER (IND)","febrero",0,29
"405","ALBORADA (ART)","febrero",0,8
"406","ALERCE (IND)","febrero",5,37
"407","ANGAMOS 2 (IND)","febrero",1,5
"408","ANGAMOS 3 (IND)","febrero",1,3
"409","ANGAMOS 4 (IND)","febrero",1,3
"410","ANGAMOS 9 (IND)","febrero",0,0
"411","ANSELMO I (ART)","febrero",4,27
"412","ANTARCTIC ENDEAVOUR (FAB)","febrero",0,47
"413","ANTARES (IND)","febrero",0,57
"414","ANTARES II (ART)","febrero",0,4
"415","ANTARES IV (ART)","febrero",3,41
"416","AQUILES PANCHO I  (IND)","febrero",54,85
"417","ARAUCANA III (L","febrero",166,277
"418","ARIES I (ART)","febrero",8,12
"419","ATACAMA V (IND)","febrero",1,42
"420","AUDAZ (IND)","febrero",6,52
"421","AVENTURERO (IND)","febrero",0,30
"422","BANDURRIA (IND)","febrero",5,37
"423","BARRACUDA IV (IND)","febrero",2,4
"424","BETTY YULY (L","febrero",101,149
"425","BIOMAR IV (IND)","febrero",196,378
"426","BLANQUILLO (IND)","febrero",0,7
"427","BODANES (IND)","febrero",4,290
"428","BONN (IND)","febrero",1,11
"429","BRISA (L","febrero",245,310
"430","BRUDER ALFA (ART-TRP)","febrero",3,46
"431","BRUMA (L","febrero",58,103
"432","BRYAN ALEJANDRO (ART)","febrero",0,2
"433","BUCANERO I (IND)","febrero",77,245
"434","BUENA FE II (L","febrero",298,454
"435","CAICAVEN (L","febrero",128,177
"436","CALYPSO III (L","febrero",156,306
"437","CAMPARI I (ART)","febrero",0,11
"438","CAMPARI III (ART)","febrero",0,26
"439","CANDELARIA II (ART)","febrero",37,103
"440","CARACOLA (L","febrero",20,27
"441","CARLA BELEN I (L","febrero",154,302
"442","CARMENCHA (L","febrero",159,202
"443","CAZADOR (IND)","febrero",41,222
"444","CECILIA III (ART)","febrero",0,8
"445","CENTURION 2000 (L","febrero",187,280
"446","CESAR MIGUEL (ART)","febrero",1,2
"447","CHENCO (ART)","febrero",14,52
"448","CHUBASCO I (ART)","febrero",16,83
"449","CISNE BLANCO (FAB)","febrero",693,866
"450","CLAUDIA SOFIA (ART)","febrero",430,628
"451","CLAUDIO I (ART)","febrero",45,114
"452","COBRA (IND)","febrero",57,133
"453","COCHA (IND)","febrero",215,363
"454","COÑA (L","febrero",181,202
"455","CONCEPCION (ART)","febrero",0,107
"456","CONY I (IND)","febrero",327,532
"457","CORAL I (IND)","febrero",0,0
"458","CORPESCA I (IND)","febrero",0,10
"459","CORSARIO I (IND)","febrero",99,312
"460","DALCA (ART)","febrero",126,183
"461","DANIELA S (ART)","febrero",116,158
"462","DELFIN 2000 (ART)","febrero",42,129
"463","DEMETRIO II (L","febrero",150,201
"464","DOÑA AMANDA (L","febrero",318,496
"465","DOÑA BELLA (L","febrero",209,235
"466","DOÑA BERNARDA (L","febrero",31,71
"467","DOÑA CARMELA","febrero",4,16
"468","DON ADRIAN II (L","febrero",94,241
"469","DON ADRIAN (L","febrero",189,323
"470","DON ALAMIRO","febrero",0,14
"471","DON ALFONSO (IND)","febrero",59,137
"472","DON ALFONSO II (ART)","febrero",62,87
"473","DON ALFONSO IV (L","febrero",0,7
"474","DON ALFREDO (L","febrero",193,332
"475","DOÑA NIEVES (L","febrero",59,81
"476","DON ATILIO (ART)","febrero",18,72
"477","DON BENITO II (ART)","febrero",22,76
"478","DON BENJA (ART)","febrero",7,28
"479","DON BORIS (IND)","febrero",85,250
"480","DON CARLOS (L","febrero",79,148
"481","DON CESAR (ART)","febrero",0,42
"482","DON CHELO II (ART)","febrero",16,47
"483","DON CHOLITO (ART)","febrero",20,50
"484","DON DANIEL I (L","febrero",0,9
"485","DON DANILO F (ART)","febrero",73,96
"486","DON DAVID II (ART)","febrero",384,619
"487","DON EDMUNDO (IND)","febrero",59,156
"488","DON EDUARDO II (ART-TRP)","febrero",0,87
"489","DON ENRIQUE F (L","febrero",14,22
"490","DON ENZO (ART)","febrero",4,23
"491","DON ERNESTO AYALA MARFIL (IND)","febrero",1,3
"492","DON FELIX III (L","febrero",246,359
"493","DON FELIX (L","febrero",210,325
"494","DON FRANCISCO I (ART)","febrero",1,50
"495","DON GERMAN I (L","febrero",0,27
"496","DON GILBERTO I (ART)","febrero",0,4
"497","DON GINO (IND)","febrero",4,42
"498","DON GUILLERMO I (ART)","febrero",14,35
"499","DON HELENO (L","febrero",0,7
"500","DON JEAN PIERRE (ART)","febrero",65,97
"501","DON JOAQUIN  (ART)","febrero",35,102
"502","DON JORGE M (ART)","febrero",153,222
"503","DON JOSE (LM)","febrero",4,48
"504","DON JOSE EDGARDO (ART)","febrero",20,52
"505","DON JOSE I (ART)","febrero",1,1
"506","DON JOSE IV (ART)_1322","febrero",89,135
"507","DON JULIO (BZA)","febrero",136,316
"508","DON LINO (ART)","febrero",186,364
"509","DON LUIS ALBERTO (ART)","febrero",7,37
"510","DON LUIS ALBERTO II (ART)","febrero",33,88
"511","DON MANUEL (IND)","febrero",39,136
"512","DON MARCIAL (L","febrero",24,94
"513","DON MATEO (ART)","febrero",3,12
"514","DON MATEO I (ART)","febrero",238,328
"515","DON MATIAS I (L","febrero",0,5
"516","DON MAURICIO I (ART)","febrero",16,33
"517","DON MAXI (ART)","febrero",204,277
"518","DON NEN (L","febrero",63,83
"519","DON NESTOR (L","febrero",30,148
"520","DON OSCAR (ART)","febrero",0,5
"521","DON PANCRACIO (ART)","febrero",15,136
"522","DON PEY II (ART)","febrero",8,102
"523","DON RAUL I (ART)","febrero",1,89
"524","DON ROBERT (ART)","febrero",0,2
"525","DON SEBASTIAN (L","febrero",36,171
"526","DON STEFAN (IND)","febrero",90,154
"527","DON TITO (IND)","febrero",58,263
"528","DON TITO R (ART)","febrero",0,7
"529","DON TOMAS (L","febrero",219,364
"530","DON ULMES (ART)","febrero",16,61
"531","DON VICENTE I (ART)","febrero",127,190
"532","DON WILLY (ART)","febrero",39,53
"533","EBENEZER II (ART)","febrero",42,126
"534","EL ACUARIO I (ART)","febrero",3,10
"535","ELBE (IND)","febrero",107,174
"536","EL CHILE (ART)","febrero",9,21
"537","EL CID (ART)","febrero",15,71
"538","EL DANUBIO AZUL (ART)","febrero",0,3
"539","ELENA S (IND)","febrero",3,100
"540","ELOISA II (ART)","febrero",6,22
"541","EL PACIFICO (ART)","febrero",3,70
"542","EL ROBLE (L","febrero",166,237
"543","EPERVA 49 (IND)","febrero",6,38
"544","EPERVA 51 (IND)","febrero",1,21
"545","EPERVA 56 (IND)","febrero",5,47
"546","EPERVA 62 (IND)","febrero",2,5
"547","EPERVA 65 (IND)","febrero",0,0
"548","ERICK GABRIEL (ART-TRP)","febrero",0,33
"549","ERIKA (IND)","febrero",0,0
"550","ESTRELLA II (ART)","febrero",4,9
"551","ESTRELLA III (ART)","febrero",8,26
"552","EUGENIO (ART)","febrero",5,33
"553","FEIDIPIDES (L","febrero",17,56
"554","FELIPE EDUARDO (ART)","febrero",0,6
"555","FERNANDO ANDRES III (TRP-V)","febrero",0,110
"556","FITZ ROY (ART-TRP)","febrero",4,68
"557","FLOPY I (ART)","febrero",114,265
"558","FOCHE (IND)","febrero",202,386
"559","FORTUNA IV (ART)","febrero",18,70
"560","FORTUNA V (ART)","febrero",40,181
"561","FRAPOLI (L","febrero",96,287
"562","FRIOSUR IX (IND)","febrero",538,645
"563","FRIOSUR VIII (IND)","febrero",0,25
"564","FRIOSUR X (IND)","febrero",448,577
"565","GAROTA (ART)","febrero",47,144
"566","GAROTA II (ART)","febrero",38,158
"567","GAROTA III (ART)","febrero",43,149
"568","GAROTA IV (ART)","febrero",47,166
"569","GAROTA V (ART)","febrero",26,143
"570","GENESIS ELENA (ART)","febrero",71,123
"571","GIANLUCA (ART)","febrero",32,67
"572","GIANPIERO I","febrero",1,1
"573","GIMAR I (ART)","febrero",0,2
"574","GLOBAL PESCA I (FAB)","febrero",0,45
"575","GLOBAL PESCA II (FAB)","febrero",558,897
"576","GLOBAL PESCA III (FAB)","febrero",638,948
"577","GREISIS NICOL II (ART)","febrero",1,20
"578","GRINGO (IND)","febrero",200,428
"579","GUANAYE 2 (IND)","febrero",144,258
"580","GUAYACAN I (ART)","febrero",0,36
"581","GUERRERO DE PACIFICO (ART)","febrero",488,638
"582","GUILLERMO I (ART)","febrero",26,96
"583","HERACLES (L","febrero",207,281
"584","HUANAY (L","febrero",107,126
"585","HURACAN (IND)","febrero",0,26
"586","HURACAN I (ART)","febrero",3,30
"587","ICALMA (IND)","febrero",6,50
"588","IMPERIO AUSTRAL (ART)","febrero",0,20
"589","INDEPENDENCIA II (ART)","febrero",98,160
"590","INGRID FERNANDA (ART)","febrero",137,206
"591","ISAAC (ART)","febrero",0,4
"592","ISAAC II (ART)","febrero",71,131
"593","ISAIAS (L","febrero",0,0
"594","ISIDORA I     ART","febrero",1,1
"595","ISLA LLAHUEN (ART)","febrero",0,26
"596","ISLA PICTON","febrero",283,439
"597","ISLA TABON (L","febrero",85,92
"598","IVETH I (L","febrero",40,56
"599","JACKIE (L","febrero",4,95
"600","JAQUELINE (ART)","febrero",100,157
"601","JAVIER (IND)","febrero",101,349
"602","JEAN RENE I (L","febrero",30,44
"603","JECHITO VI (L","febrero",0,17
"604","JEPE I (ART)","febrero",31,86
"605","JORGE ANDRES (ART)","febrero",0,6
"606","JOSE BASILIO (L","febrero",288,410
"607","JOSE LUIS (ART)","febrero",0,34
"608","JOSUE (ART)","febrero",0,1
"609","JOYA DEL PACIFICO (L","febrero",142,197
"610","JOYA I (L","febrero",38,52
"611","JUAN CLAUDIO (ART)","febrero",478,588
